org_id,icnptso_code,icnptso_code_probability,icnptso_code_source
GB-COH-06181611,F20,0.479,ml_model
GB-COH-06181629,A11,1.0,ml_model
GB-COH-06181713,L50,1.0,ml_model
GB-COH-06181900,D13,0.998,ml_model
GB-COH-06189491,A90,0.279,ml_model
GB-COH-06189943,A90,0.493,ml_model
GB-COH-06195583,F20,1.0,ml_model
GB-COH-06196231,F30,1.0,ml_model
GB-COH-06200687,F20,0.652,ml_model
GB-COH-06201528,F20,0.729,ml_model
GB-COH-06202308,D11,0.877,ml_model
GB-COH-06202532,F20,1.0,ml_model
GB-COH-06202730,B31,0.982,ml_model
GB-COH-06202780,G12,0.999,ml_model
GB-COH-06202856,F20,0.709,ml_model
GB-COH-06202928,D90,0.422,ml_model
GB-COH-06204537,F20,0.864,ml_model
GB-COH-06204963,F20,1.0,ml_model
GB-COH-06206631,D90,0.574,ml_model
GB-COH-06208424,B31,0.971,ml_model
GB-COH-06211853,F20,0.991,ml_model
GB-COH-06211904,F20,0.998,ml_model
GB-COH-06212127,F20,0.952,ml_model
GB-COH-06212235,F20,0.85,ml_model
GB-COH-06212262,A22,0.97,ml_model
GB-COH-06214799,B31,0.999,ml_model
GB-COH-06218830,B20,0.239,ml_model
GB-COH-06218862,H10,0.978,ml_model
GB-COH-06218952,D13,1.0,ml_model
GB-COH-06218996,A11,1.0,ml_model
GB-COH-06220234,A30,0.65,ml_model
GB-COH-06220283,B31,0.611,ml_model
GB-COH-06221380,A11,1.0,ml_model
GB-COH-06221439,D11,0.997,ml_model
GB-COH-06221736,F20,1.0,ml_model
GB-COH-06221739,B20,0.288,ml_model
GB-COH-06223739,H10,0.992,ml_model
GB-COH-06223751,A11,1.0,ml_model
GB-COH-06226356,A21,1.0,ml_model
GB-COH-06226374,F20,1.0,ml_model
GB-COH-06229387,F20,0.668,ml_model
GB-COH-06229603,B31,1.0,ml_model
GB-COH-06229745,D13,1.0,ml_model
GB-COH-06230265,D13,1.0,ml_model
GB-COH-06230379,A11,1.0,ml_model
GB-COH-06230439,A90,0.407,ml_model
GB-COH-06231251,A90,0.654,ml_model
GB-COH-06234501,G11,0.465,ml_model
GB-COH-06235368,F20,0.998,ml_model
GB-COH-06236266,B31,0.994,ml_model
GB-COH-06236292,D31,0.862,ml_model
GB-COH-06237963,F20,0.975,ml_model
GB-COH-06238024,H10,0.998,ml_model
GB-COH-06241359,F20,0.999,ml_model
GB-COH-06242119,D19,0.361,ml_model
GB-COH-06244106,D13,1.0,ml_model
GB-COH-06245579,A11,0.998,ml_model
GB-COH-06247175,F20,0.89,ml_model
GB-COH-06247282,F20,1.0,ml_model
GB-COH-06247396,H10,0.41,ml_model
GB-COH-06249238,D20,0.987,ml_model
GB-COH-06249975,D19,0.992,ml_model
GB-COH-06250165,B31,0.607,ml_model
GB-COH-06252208,F20,1.0,ml_model
GB-COH-06252338,F20,0.225,ml_model
GB-COH-06252569,H10,0.892,ml_model
GB-COH-06252667,D31,0.813,ml_model
GB-COH-06252692,D19,0.869,ml_model
GB-COH-06252705,I90,1.0,ml_model
GB-COH-06252860,F20,0.284,ml_model
GB-COH-06255704,H10,0.338,ml_model
GB-COH-06255968,A21,0.925,ml_model
GB-COH-06256277,A11,1.0,ml_model
GB-COH-06256411,H10,0.811,ml_model
GB-COH-06256633,B32,0.996,ml_model
GB-COH-06257988,B31,0.896,ml_model
GB-COH-06258001,D20,0.647,ml_model
GB-COH-06258093,F20,0.815,ml_model
GB-COH-06258174,G13,0.952,ml_model
GB-COH-06258207,H10,1.0,ml_model
GB-COH-06258340,D19,0.958,ml_model
GB-COH-06258842,C11,0.466,ml_model
GB-COH-06259522,F20,0.502,ml_model
GB-COH-06262026,F20,0.999,ml_model
GB-COH-06262797,B31,0.983,ml_model
GB-COH-06264338,F20,0.304,ml_model
GB-COH-06264367,F20,0.96,ml_model
GB-COH-06266071,C12,0.416,ml_model
GB-COH-06266210,D11,0.688,ml_model
GB-COH-06270032,B31,0.838,ml_model
GB-COH-06270039,H10,0.934,ml_model
GB-COH-06270424,A11,1.0,ml_model
GB-COH-06270463,D13,0.606,ml_model
GB-COH-06270480,A11,0.315,ml_model
GB-COH-06271315,F20,0.867,ml_model
GB-COH-06272202,F20,0.913,ml_model
GB-COH-06272206,D30,0.225,ml_model
GB-COH-06272825,B31,0.996,ml_model
GB-COH-06272838,B31,0.796,ml_model
GB-COH-06273840,A11,1.0,ml_model
GB-COH-06273905,C11,0.994,ml_model
GB-COH-06274323,B31,0.98,ml_model
GB-COH-06275774,B31,0.539,ml_model
GB-COH-06275797,F20,1.0,ml_model
GB-COH-06275839,B31,0.751,ml_model
GB-COH-06275856,C12,0.784,ml_model
GB-COH-06275877,D13,1.0,ml_model
GB-COH-06276625,B32,0.783,ml_model
GB-COH-06276671,F40,0.617,ml_model
GB-COH-06276686,A11,0.529,ml_model
GB-COH-06277976,A11,0.999,ml_model
GB-COH-06278394,D13,0.999,ml_model
GB-COH-06279372,B31,0.694,ml_model
GB-COH-06280671,C12,0.987,ml_model
